motion_mean,motion_std,motion_max,high_motion_frames,pairs_processed,class,sequence
0.1025107130408287,0.36023280024528503,4.3009233474731445,41,359,explosion,Explosion022_x264
0.32740527391433716,0.4054657518863678,3.7999181747436523,64,190,explosion,Explosion004_x264
0.224044069647789,0.25048139691352844,4.725228786468506,565,1628,explosion,Explosion007_x264
0.5181967616081238,0.6065075993537903,3.370767593383789,29,129,explosion,Explosion020_x264
0.3554233908653259,0.5947858095169067,6.178004264831543,101,331,explosion,Explosion013_x264
0.23041513562202454,0.34946513175964355,5.23300838470459,151,532,explosion,Explosion036_x264
0.4405900537967682,0.765556812286377,4.016362190246582,20,99,explosion,Explosion039_x264
0.21230190992355347,0.6355435252189636,4.525611877441406,17,50,explosion,Explosion025_x264
0.14566268026828766,0.13009624183177948,0.823479950428009,313,764,explosion,Explosion043_x264
0.2752348482608795,0.6436157822608948,8.176424980163574,54,315,explosion,Explosion033_x264
1.1014842987060547,2.3829007148742676,17.39105987548828,36,174,explosion,Explosion008_x264
0.12747396528720856,0.0878366082906723,0.5243287086486816,65,164,explosion,Explosion017_x264
0.1585490107536316,0.12717047333717346,0.653251051902771,33,77,explosion,Explosion027_x264
0.4255933463573456,2.837427854537964,43.82612609863281,28,249,explosion,Explosion010_x264
0.19526393711566925,1.142058253288269,9.61159896850586,6,96,explosion,Explosion016_x264
0.3646354377269745,0.6323349475860596,4.776272296905518,87,286,explosion,Explosion035_x264
0.10222969949245453,0.1144886165857315,0.5767790675163269,48,170,explosion,Explosion028_x264
1.0389684438705444,1.9998700618743896,13.025505065917969,21,78,explosion,Explosion021_x264
0.0947127565741539,0.17748582363128662,1.6415190696716309,87,401,explosion,Explosion002_x264
0.1989912986755371,0.23015311360359192,1.4228399991989136,80,240,explosion,Explosion029_x264
0.3048053979873657,0.19570095837116241,1.1532478332519531,61,157,explosion,Explosion011_x264
0.09329324215650558,0.11611133813858032,0.6810005307197571,56,182,robbery,Robbery102_x264
0.06331230700016022,0.07674684375524521,0.482185959815979,39,170,robbery,Robbery050_x264
0.18073111772537231,0.1892501562833786,2.5026144981384277,90,219,robbery,Robbery137_x264
0.14187952876091003,0.15898507833480835,0.8820676207542419,41,119,robbery,Robbery106_x264
0.19738690555095673,0.17401845753192902,0.8467894792556763,56,140,robbery,Robbery048_x264
0.7445597648620605,0.29994437098503113,1.5962445735931396,16,34,roadaccidents,RoadAccidents002_x264
0.3737199306488037,0.6085274815559387,3.7446022033691406,68,257,roadaccidents,RoadAccidents127_x264
0.8990294337272644,0.6535888910293579,4.7800397872924805,80,183,roadaccidents,RoadAccidents121_x264
0.4035179913043976,0.34161490201950073,2.9920096397399902,82,215,roadaccidents,RoadAccidents011_x264
0.06478682905435562,0.06243780627846718,0.2677948474884033,24,91,roadaccidents,RoadAccidents009_x264
0.16661052405834198,0.2672642469406128,2.3747801780700684,28,100,roadaccidents,RoadAccidents123_x264
0.1315426230430603,0.08832238614559174,0.4528278112411499,69,186,roadaccidents,RoadAccidents132_x264
0.5744830965995789,0.7702329754829407,3.516650438308716,9,24,roadaccidents,RoadAccidents017_x264
0.24919189512729645,0.3499594032764435,1.333739161491394,19,71,roadaccidents,RoadAccidents022_x264
0.5467010736465454,0.4421873688697815,1.3416721820831299,5,15,roadaccidents,RoadAccidents021_x264
0.08630983531475067,0.08515961468219757,0.5552635192871094,61,177,roadaccidents,RoadAccidents125_x264
0.1767280101776123,0.4077829420566559,2.734205484390259,15,56,roadaccidents,RoadAccidents128_x264
0.2780255377292633,0.1455807089805603,0.6616458892822266,17,38,roadaccidents,RoadAccidents004_x264
0.15827269852161407,0.12561224400997162,0.7825716137886047,64,219,roadaccidents,RoadAccidents016_x264
0.1836542785167694,0.6805150508880615,4.652851581573486,4,64,roadaccidents,RoadAccidents122_x264
0.4757732152938843,0.547575056552887,3.902338981628418,60,177,roadaccidents,RoadAccidents020_x264
0.5275341272354126,0.5983725190162659,2.6749753952026367,20,67,roadaccidents,RoadAccidents133_x264
0.1355435848236084,0.15921002626419067,0.9125028848648071,42,136,roadaccidents,RoadAccidents001_x264
0.39049607515335083,0.8177031874656677,4.662514686584473,6,52,roadaccidents,RoadAccidents010_x264
0.08955348283052444,0.08265223354101181,0.4515240788459778,49,152,roadaccidents,RoadAccidents131_x264
0.19707952439785004,0.19308461248874664,1.4063975811004639,53,149,roadaccidents,RoadAccidents124_x264
0.2550778090953827,0.3120424151420593,1.2842166423797607,13,46,roadaccidents,RoadAccidents012_x264
0.272190660238266,0.3846900165081024,2.619708776473999,36,131,roadaccidents,RoadAccidents019_x264
0.13108135759830475,0.15918095409870148,0.7479715347290039,46,141,abuse,Abuse028_x264
0.030367856845259666,0.016052408143877983,0.1411663144826889,53,154,abuse,Abuse030_x264
0.20890045166015625,0.3481067419052124,2.989255905151367,164,584,stealing,Stealing079_x264
0.11269501596689224,0.3244679272174835,4.338995456695557,84,491,stealing,Stealing019_x264
0.36653220653533936,1.0653972625732422,12.088154792785645,82,499,stealing,Stealing058_x264
0.15719929337501526,0.11602377891540527,0.549079179763794,55,155,stealing,Stealing062_x264
0.13612477481365204,0.15067903697490692,0.8163820505142212,84,250,stealing,Stealing036_x264
0.38678866624832153,0.7656817436218262,4.078216552734375,33,153,burglary,Burglary021_x264
0.2530493140220642,0.8300849199295044,6.561485290527344,14,62,burglary,Burglary092_x264
0.055846281349658966,0.10074217617511749,0.7475804090499878,27,112,burglary,Burglary018_x264
0.547794759273529,1.0224722623825073,7.849334716796875,45,191,burglary,Burglary037_x264
0.020620044320821762,0.037065282464027405,0.41469356417655945,219,1292,burglary,Burglary076_x264
0.038363683968782425,0.11520696431398392,1.7521828413009644,133,898,burglary,Burglary061_x264
0.07274206727743149,0.2188316285610199,2.8459885120391846,70,360,burglary,Burglary024_x264
0.11848817020654678,0.11039163917303085,1.11919367313385,465,1579,burglary,Burglary032_x264
0.13450133800506592,0.25940069556236267,3.032715082168579,388,1485,burglary,Burglary079_x264
0.2167537808418274,0.3398829698562622,3.1924831867218018,45,211,burglary,Burglary017_x264
0.12684863805770874,0.3891870975494385,3.5877318382263184,61,404,burglary,Burglary035_x264
0.05508583039045334,0.10028022527694702,0.6269985437393188,27,125,burglary,Burglary033_x264
0.16854329407215118,0.2911504805088043,2.348443031311035,206,772,burglary,Burglary005_x264
0.19680048525333405,0.22566568851470947,1.8855578899383545,511,1617,assault,Assault010_x264
0.7125360369682312,0.4229293167591095,2.2678070068359375,394,809,assault,Assault006_x264
0.18133139610290527,0.09695658087730408,0.6715458631515503,100,228,assault,Assault011_x264
0.4031268060207367,0.48072630167007446,4.321946144104004,73,223,fighting,Fighting042_x264
0.2697027027606964,0.21766918897628784,1.3792293071746826,180,445,fighting,Fighting047_x264
0.34210529923439026,0.7481867671012878,7.5790181159973145,33,138,fighting,Fighting018_x264
0.3204207718372345,0.4008781313896179,2.645880699157715,34,110,fighting,Fighting033_x264
0.2540241777896881,0.18877126276493073,1.536901831626892,124,310,fighting,Fighting003_x264
2.410855770111084,2.055668592453003,8.857488632202148,57,126,arson,Arson011_x264
0.14419874548912048,0.13112489879131317,1.1466686725616455,61,179,arson,Arson016_x264
0.07468514144420624,0.12080598622560501,1.7101978063583374,194,863,arson,Arson022_x264
1.2431516647338867,1.9635671377182007,11.623555183410645,21,74,arson,Arson009_x264
0.3067546486854553,0.793559730052948,10.592931747436523,79,375,arson,Arson041_x264
0.6235774755477905,1.3908034563064575,11.919557571411133,33,143,arson,Arson035_x264
0.1989523023366928,0.895101010799408,9.075206756591797,35,315,arson,Arson010_x264
0.07774727791547775,0.20060217380523682,3.955373764038086,169,625,arson,Arson007_x264
0.21981577575206757,0.5080634355545044,3.3880443572998047,19,84,arson,Arson018_x264
0.2240375578403473,0.4323035478591919,5.260946273803711,109,508,shooting,Shooting046_x264
0.11477448046207428,0.0675082877278328,0.3521885871887207,80,187,shooting,Shooting043_x264
0.19352765381336212,0.1751856654882431,1.068731665611267,144,400,shooting,Shooting011_x264
0.045454241335392,0.04533621296286583,0.2911562919616699,87,274,shooting,Shooting048_x264
0.10008696466684341,0.13716673851013184,0.8928958177566528,141,455,shooting,Shooting022_x264
0.18162848055362701,0.37101009488105774,3.3922548294067383,37,179,shooting,Shooting018_x264
0.36746472120285034,0.23645056784152985,1.5357096195220947,49,140,shooting,Shooting026_x264
0.09374867379665375,0.23991438746452332,3.286043405532837,61,200,shooting,Shooting024_x264
0.04912933334708214,0.286502867937088,5.433732986450195,71,362,shooting,Shooting033_x264
0.1117023378610611,0.08430859446525574,0.5129553079605103,104,275,shooting,Shooting019_x264
0.3691198229789734,0.3035081624984741,1.600242257118225,40,120,shooting,Shooting002_x264
0.07514073699712753,0.08729108422994614,0.366573303937912,48,140,shooting,Shooting034_x264
0.24027657508850098,0.5275002121925354,3.991417646408081,38,179,shooting,Shooting004_x264
0.06587453186511993,0.20197050273418427,2.5777182579040527,40,171,shooting,Shooting015_x264
0.1359357088804245,0.2743004560470581,2.192631483078003,58,264,shooting,Shooting010_x264
0.303038626909256,0.45868590474128723,2.3825788497924805,53,162,shooting,Shooting008_x264
0.09651719778776169,0.31849613785743713,2.5086309909820557,14,142,shooting,Shooting007_x264
0.2952544093132019,0.2466283142566681,0.8202295303344727,15,30,shooting,Shooting037_x264
0.07349265366792679,0.30347365140914917,5.198278427124023,154,828,shooting,Shooting047_x264
0.3168347477912903,0.7638312578201294,5.118767738342285,19,127,shooting,Shooting021_x264
0.14223994314670563,0.20453208684921265,6.148346900939941,706,2168,shooting,Shooting032_x264
0.39020049571990967,0.6431608200073242,3.2048120498657227,27,107,shooting,Shooting013_x264
0.12519535422325134,0.1478998214006424,0.794554591178894,60,189,shooting,Shooting028_x264
0.09391089528799057,0.09116954356431961,0.5668610334396362,108,298,vandalism,Vandalism015_x264
0.16222026944160461,0.2288050502538681,1.28838312625885,52,144,vandalism,Vandalism036_x264
0.06037857010960579,0.08680025488138199,0.4689643979072571,74,449,vandalism,Vandalism028_x264
0.32401198148727417,0.7059779763221741,4.852049827575684,26,114,vandalism,Vandalism007_x264
0.23584771156311035,0.3995416760444641,2.352832078933716,22,101,vandalism,Vandalism017_x264
0.14866626262664795,0.4112641513347626,4.727632522583008,56,314,arrest,Arrest007_x264
0.12669096887111664,0.12215112149715424,0.8698529601097107,308,864,arrest,Arrest030_x264
0.6620678305625916,1.2119687795639038,7.3511199951171875,87,362,arrest,Arrest024_x264
0.0925823450088501,0.1409136801958084,0.7438741326332092,49,237,arrest,Arrest001_x264
0.1674831062555313,0.32542723417282104,5.059432029724121,397,1583,arrest,Arrest039_x264
2.3365399837493896,1.859912633895874,8.47061538696289,6334,10799,normalvideos,Normal_Videos
0.13650619983673096,0.21755778789520264,3.078685760498047,80,273,shoplifting,Shoplifting010_x264
0.18094025552272797,0.20097871124744415,1.4147332906723022,191,576,shoplifting,Shoplifting020_x264
0.1675180196762085,0.30449217557907104,2.451308250427246,52,217,shoplifting,Shoplifting029_x264
0.21121801435947418,0.15407340228557587,1.2905879020690918,246,667,shoplifting,Shoplifting004_x264
0.08796695619821548,0.12100164592266083,0.93173748254776,53,225,shoplifting,Shoplifting015_x264
0.17517510056495667,0.08148800581693649,0.46987468004226685,23,45,shoplifting,Shoplifting017_x264
0.2106391340494156,0.2611844837665558,1.6061151027679443,49,148,shoplifting,Shoplifting016_x264
0.30590203404426575,0.5587480664253235,5.306053161621094,60,196,shoplifting,Shoplifting005_x264
0.28219810128211975,0.36263471841812134,3.094733238220215,76,214,shoplifting,Shoplifting049_x264
0.13945750892162323,0.14035414159297943,0.8604464530944824,110,280,shoplifting,Shoplifting039_x264
0.19524672627449036,0.1512528359889984,1.3804984092712402,211,512,shoplifting,Shoplifting007_x264
0.4418694078922272,0.2815249264240265,1.3235129117965698,38,89,shoplifting,Shoplifting033_x264
0.13326556980609894,0.3416058123111725,3.073448896408081,23,135,shoplifting,Shoplifting028_x264
0.17777398228645325,0.22497403621673584,1.3848519325256348,414,1193,shoplifting,Shoplifting034_x264
0.08235525339841843,0.07156801968812943,0.5850951075553894,163,434,shoplifting,Shoplifting001_x264
0.06538241356611252,0.04548156261444092,0.22789324820041656,16,44,shoplifting,Shoplifting031_x264
0.19476990401744843,0.21416199207305908,1.5434852838516235,45,138,shoplifting,Shoplifting037_x264
0.1205061674118042,0.15167242288589478,2.2741546630859375,482,1455,shoplifting,Shoplifting044_x264
0.5045362114906311,0.7668048143386841,4.772867679595947,50,187,shoplifting,Shoplifting027_x264
0.21835099160671234,0.1998700350522995,1.7345404624938965,120,355,shoplifting,Shoplifting021_x264
0.1475290209054947,0.15763671696186066,0.998996376991272,71,219,shoplifting,Shoplifting022_x264
